Respondent_ID,Age_Group,Generation,Gender,Region,Income_Level,Urban_Rural,Trust_In_Brands,Price_Sensitivity,Quality_Over_Price,Sustainability_Important,Brand_Loyalty,Try_New_Products,Online_Shopping_Preference,Social_Media_Influence,Canadian_Made_Important,Feel_Good_Purchase,Monthly_Discretionary_Spend,Purchase_Frequency_QSR,Coffee_Shop_Visits_Week,Online_Purchases_Month,Survey_Date,Survey_Method,Response_Quality_Score
R01266,35-44,Millennials,Male,Saskatchewan,<$30k,Urban,3,4,2,4,5,4,2,4,3,2,$250-$500,Weekly,2,5,2026-01-28,Online Panel,0.87
R01267,65+,Boomers,Female,Saskatchewan,$100k-$150k,Urban,4,4,3,2,3,2,2,4,5,3,$500-$1000,2-3x/week,5,6,2026-01-21,Phone,0.73
R01268,18-24,Gen Z,Male,Quebec,$50k-$75k,Suburban,4,3,2,4,5,2,4,2,5,5,$1000+,Daily,2,17,2026-01-27,Phone,0.7
R01269,25-34,Millennials,Female,Saskatchewan,$75k-$100k,Rural,2,3,3,2,4,3,4,3,2,4,$100-$250,Monthly,5,2,2026-01-22,Online Panel,0.69
R01270,35-44,Millennials,Female,Saskatchewan,$30k-$50k,Urban,5,3,4,4,4,2,4,4,4,2,$1000+,Daily,3,19,2026-01-17,Phone,0.92
R01271,65+,Boomers,Male,Quebec,$150k+,Rural,2,4,3,2,3,5,2,1,3,5,<$100,2-3x/month,5,9,2026-01-17,Mobile App,0.82
R01272,35-44,Millennials,Non-binary,British Columbia,$75k-$100k,Urban,3,4,2,4,2,3,4,4,5,3,$1000+,2-3x/month,1,4,2026-02-04,Online Panel,0.69
R01273,45-54,Gen X,Male,Saskatchewan,$100k-$150k,Suburban,5,4,4,2,4,5,3,2,3,2,$1000+,Rarely,1,17,2026-01-25,Online Panel,0.89
R01274,55-64,Boomers,Male,Alberta,<$30k,Suburban,3,4,2,2,3,5,2,4,5,2,$100-$250,Weekly,5,15,2026-01-13,Online Panel,0.78
R01275,55-64,Boomers,Male,Ontario,$50k-$75k,Suburban,4,5,4,2,5,5,3,1,2,3,$250-$500,2-3x/month,1,15,2026-01-18,Mobile App,0.8
R01276,55-64,Boomers,Non-binary,Ontario,$30k-$50k,Urban,2,4,4,4,3,4,3,4,5,5,<$100,Rarely,4,15,2026-01-31,Mobile App,0.74
R01277,45-54,Gen X,Female,Ontario,<$30k,Suburban,3,5,4,3,2,2,3,3,5,2,$100-$250,2-3x/week,3,1,2026-02-07,Email,0.91
R01278,25-34,Millennials,Prefer not to say,Alberta,$50k-$75k,Suburban,4,4,5,4,3,3,2,3,2,5,<$100,2-3x/month,0,8,2026-01-14,Email,0.66
R01279,25-34,Millennials,Non-binary,Atlantic,$150k+,Urban,5,3,4,4,2,4,3,3,4,4,$1000+,2-3x/month,3,6,2026-02-07,Email,0.79
R01280,55-64,Boomers,Male,Atlantic,<$30k,Rural,2,4,4,3,2,2,2,3,5,4,$100-$250,Daily,7,13,2026-02-03,Online Panel,0.61
R01281,25-34,Millennials,Prefer not to say,Quebec,$30k-$50k,Rural,5,3,4,4,5,2,2,3,5,2,$100-$250,Rarely,3,12,2026-01-16,Phone,0.82
R01282,35-44,Millennials,Non-binary,Manitoba,$100k-$150k,Suburban,5,3,5,2,4,5,4,3,5,2,<$100,Daily,0,8,2026-01-21,Phone,0.81
R01283,25-34,Millennials,Female,Ontario,$75k-$100k,Suburban,3,3,2,3,5,3,4,4,2,5,<$100,Rarely,4,2,2026-02-06,Online Panel,0.69
R01284,25-34,Millennials,Prefer not to say,Saskatchewan,$75k-$100k,Rural,2,4,5,4,5,3,3,3,2,5,<$100,2-3x/week,1,2,2026-01-18,Mobile App,0.7
R01285,65+,Boomers,Non-binary,Ontario,$100k-$150k,Urban,2,4,5,3,4,2,2,1,5,5,$100-$250,Weekly,7,9,2026-02-05,Phone,0.88
R01286,25-34,Millennials,Male,Atlantic,$75k-$100k,Urban,5,3,2,4,4,3,3,3,5,4,$1000+,Weekly,1,15,2026-01-26,Phone,0.8
R01287,18-24,Gen Z,Prefer not to say,Quebec,$30k-$50k,Rural,5,3,4,4,3,3,2,3,5,2,$100-$250,Daily,7,14,2026-02-03,Online Panel,0.89
R01288,65+,Boomers,Male,Atlantic,$100k-$150k,Rural,2,4,3,2,2,5,2,2,2,2,<$100,Daily,5,15,2026-01-22,Mobile App,0.91
R01289,18-24,Gen Z,Female,Ontario,$75k-$100k,Urban,3,3,5,4,3,2,4,3,5,5,<$100,2-3x/week,4,16,2026-02-01,Online Panel,0.75
R01290,55-64,Boomers,Male,Ontario,$150k+,Suburban,4,4,2,2,3,5,4,1,2,3,$100-$250,2-3x/month,4,11,2026-02-03,Mobile App,0.94
R01291,65+,Boomers,Prefer not to say,Manitoba,$50k-$75k,Rural,4,4,3,2,2,3,3,1,5,4,$1000+,Weekly,6,5,2026-02-05,Mobile App,0.94
R01292,25-34,Millennials,Non-binary,British Columbia,$75k-$100k,Suburban,2,3,5,2,3,5,3,3,3,4,<$100,2-3x/week,4,13,2026-02-05,Online Panel,0.68
R01293,45-54,Gen X,Prefer not to say,Alberta,$75k-$100k,Urban,2,4,2,4,5,3,3,2,3,2,$250-$500,2-3x/month,5,1,2026-01-13,Phone,0.64
R01294,65+,Boomers,Prefer not to say,Territories,$75k-$100k,Suburban,2,4,5,3,4,2,2,1,5,3,<$100,2-3x/week,7,1,2026-02-04,Mobile App,0.75
R01295,25-34,Millennials,Female,Alberta,$150k+,Rural,2,3,5,4,5,2,4,3,3,4,$500-$1000,2-3x/month,6,15,2026-01-18,Email,0.69
R01296,65+,Boomers,Non-binary,Alberta,$75k-$100k,Urban,5,4,3,2,5,3,2,1,4,5,$100-$250,Monthly,7,19,2026-01-25,Phone,0.99
R01297,18-24,Gen Z,Female,Alberta,$50k-$75k,Rural,2,3,2,4,3,5,4,3,2,2,$1000+,2-3x/month,3,8,2026-01-26,Online Panel,0.79
R01298,65+,Boomers,Female,Atlantic,$100k-$150k,Rural,5,3,3,2,2,5,2,1,3,4,$100-$250,Rarely,0,19,2026-01-25,Phone,0.83
R01299,55-64,Boomers,Female,British Columbia,$75k-$100k,Suburban,5,4,5,2,4,2,3,1,5,4,<$100,Weekly,1,1,2026-01-27,Online Panel,0.65
R01300,65+,Boomers,Male,Quebec,<$30k,Urban,2,5,4,2,3,5,2,1,2,2,<$100,Weekly,4,2,2026-01-25,Email,0.78
R01301,25-34,Millennials,Female,Alberta,$50k-$75k,Urban,4,3,2,4,2,5,4,3,4,5,$500-$1000,2-3x/month,0,0,2026-02-03,Email,0.69
R01302,65+,Boomers,Female,Manitoba,$50k-$75k,Urban,4,4,5,4,4,4,2,2,3,2,$1000+,Daily,7,6,2026-01-25,Phone,0.9
R01303,25-34,Millennials,Prefer not to say,Manitoba,$150k+,Urban,2,3,5,4,2,5,2,3,5,5,$1000+,Daily,3,1,2026-01-13,Mobile App,0.79
R01304,45-54,Gen X,Prefer not to say,Atlantic,$75k-$100k,Urban,2,4,4,3,3,3,3,3,4,3,$500-$1000,2-3x/month,1,19,2026-01-30,Mobile App,0.9
R01305,45-54,Gen X,Male,Territories,$150k+,Rural,2,4,4,2,2,5,4,1,3,2,$250-$500,2-3x/week,5,9,2026-02-08,Mobile App,0.6
R01306,55-64,Boomers,Non-binary,Atlantic,$30k-$50k,Urban,5,4,5,2,2,2,2,1,3,4,$100-$250,Weekly,4,13,2026-02-05,Email,0.73
R01307,65+,Boomers,Male,Saskatchewan,$100k-$150k,Suburban,3,5,4,2,3,4,2,3,2,2,$500-$1000,Weekly,1,2,2026-02-08,Mobile App,0.93
R01308,55-64,Boomers,Non-binary,Ontario,$75k-$100k,Suburban,4,4,4,4,4,5,4,4,3,4,<$100,2-3x/month,2,15,2026-02-07,Phone,0.73
R01309,35-44,Millennials,Male,Manitoba,$150k+,Rural,3,3,4,3,4,2,4,3,3,2,$100-$250,Monthly,6,5,2026-01-13,Online Panel,0.93
R01310,65+,Boomers,Male,Manitoba,$75k-$100k,Urban,3,4,5,2,3,2,2,1,2,5,$500-$1000,Rarely,1,4,2026-01-25,Phone,0.84
R01311,35-44,Millennials,Non-binary,Atlantic,$75k-$100k,Rural,4,3,4,4,4,3,4,3,2,3,<$100,2-3x/month,2,11,2026-02-06,Email,0.9
R01312,35-44,Millennials,Male,Territories,$150k+,Urban,4,3,3,4,5,2,4,3,5,3,$250-$500,Daily,1,10,2026-01-30,Mobile App,0.77
R01313,18-24,Gen Z,Female,Quebec,$30k-$50k,Suburban,5,4,2,4,2,3,3,2,3,4,$500-$1000,Daily,7,1,2026-01-14,Online Panel,0.66
R01314,65+,Boomers,Male,Saskatchewan,$100k-$150k,Urban,2,3,4,2,5,4,2,1,4,3,<$100,Weekly,4,16,2026-01-14,Online Panel,0.95
R01315,55-64,Boomers,Male,Ontario,$150k+,Urban,2,3,3,2,5,4,4,1,2,5,$1000+,Daily,7,5,2026-01-12,Online Panel,1.0
R01316,45-54,Gen X,Female,Alberta,<$30k,Rural,2,5,3,3,4,5,3,2,4,4,$1000+,2-3x/week,2,6,2026-01-13,Phone,0.86
R01317,55-64,Boomers,Female,Territories,$50k-$75k,Rural,2,4,5,2,2,5,4,1,4,2,$500-$1000,Daily,7,3,2026-02-08,Online Panel,0.74
R01318,25-34,Millennials,Female,Manitoba,$30k-$50k,Rural,3,3,5,3,3,4,2,3,2,2,$100-$250,2-3x/week,3,17,2026-02-02,Mobile App,0.88
R01319,35-44,Millennials,Female,British Columbia,$75k-$100k,Rural,2,3,2,3,5,2,4,3,5,3,$250-$500,2-3x/week,6,18,2026-01-28,Phone,0.92
R01320,35-44,Millennials,Non-binary,Alberta,$100k-$150k,Urban,3,3,3,4,3,5,3,3,4,4,$500-$1000,Daily,1,6,2026-02-07,Online Panel,0.7
R01321,18-24,Gen Z,Prefer not to say,Saskatchewan,$150k+,Urban,3,3,3,4,5,2,4,3,5,4,<$100,Rarely,1,19,2026-01-22,Phone,0.64
R01322,18-24,Gen Z,Male,Saskatchewan,$100k-$150k,Suburban,5,3,5,4,4,5,4,3,5,5,$500-$1000,Rarely,0,13,2026-01-21,Email,0.75
R01323,45-54,Gen X,Non-binary,Territories,$50k-$75k,Suburban,3,4,4,3,2,2,3,2,2,5,<$100,2-3x/week,1,19,2026-01-18,Mobile App,0.85
R01324,18-24,Gen Z,Non-binary,Atlantic,$75k-$100k,Suburban,2,3,4,4,2,3,4,3,3,5,$500-$1000,2-3x/month,6,8,2026-02-07,Phone,0.73
R01325,25-34,Millennials,Female,Atlantic,$75k-$100k,Urban,2,3,3,4,2,2,4,3,4,3,$250-$500,2-3x/week,0,13,2026-02-08,Phone,0.67
R01326,35-44,Millennials,Male,Atlantic,$150k+,Urban,3,4,4,4,5,2,4,2,2,5,$250-$500,2-3x/month,6,14,2026-01-28,Mobile App,0.66
R01327,35-44,Millennials,Non-binary,Alberta,<$30k,Suburban,3,3,3,3,2,5,4,3,5,4,$100-$250,2-3x/week,7,8,2026-01-18,Mobile App,0.78
R01328,45-54,Gen X,Prefer not to say,Atlantic,$75k-$100k,Urban,5,4,5,3,5,2,3,2,5,5,$100-$250,Weekly,4,7,2026-01-18,Phone,0.95
R01329,55-64,Boomers,Non-binary,British Columbia,$30k-$50k,Rural,2,4,2,2,5,3,2,4,5,3,$250-$500,Weekly,7,19,2026-02-06,Mobile App,0.79
R01330,35-44,Millennials,Non-binary,Atlantic,$100k-$150k,Urban,4,3,4,4,2,3,4,4,5,5,$500-$1000,Rarely,4,15,2026-01-13,Mobile App,0.75
R01331,35-44,Millennials,Prefer not to say,Quebec,<$30k,Suburban,4,3,2,2,2,4,4,3,5,2,$100-$250,Weekly,3,18,2026-01-25,Phone,0.81
R01332,35-44,Millennials,Non-binary,Saskatchewan,$150k+,Urban,5,3,4,4,2,5,4,3,4,2,$100-$250,2-3x/week,7,7,2026-01-19,Mobile App,0.78
R01333,25-34,Millennials,Prefer not to say,Territories,<$30k,Suburban,5,3,4,2,2,2,4,3,3,3,$250-$500,Daily,4,14,2026-01-23,Phone,0.88
R01334,45-54,Gen X,Non-binary,Quebec,$75k-$100k,Suburban,4,4,5,3,3,5,3,3,5,4,$100-$250,Daily,3,16,2026-02-03,Phone,0.96
R01335,25-34,Millennials,Female,Ontario,$50k-$75k,Suburban,4,3,5,4,4,4,4,4,5,4,<$100,Weekly,0,12,2026-01-23,Phone,0.61
R01336,35-44,Millennials,Female,Alberta,$100k-$150k,Rural,2,4,5,4,5,5,4,1,4,5,$1000+,Monthly,4,18,2026-01-18,Email,0.69
R01337,25-34,Millennials,Prefer not to say,Atlantic,$150k+,Urban,4,5,4,4,3,5,2,4,2,5,$250-$500,Rarely,7,6,2026-01-26,Phone,0.61
R01338,18-24,Gen Z,Non-binary,Territories,$30k-$50k,Suburban,2,3,5,4,4,2,4,3,3,4,$100-$250,Daily,5,12,2026-01-11,Email,0.91
R01339,45-54,Gen X,Non-binary,Alberta,$150k+,Rural,3,4,2,2,5,2,2,2,3,4,$100-$250,Daily,2,4,2026-01-17,Online Panel,0.95
R01340,35-44,Millennials,Prefer not to say,Saskatchewan,$30k-$50k,Suburban,5,3,3,2,2,3,2,3,2,4,$100-$250,Weekly,4,0,2026-01-29,Phone,0.75
R01341,25-34,Millennials,Non-binary,Ontario,$150k+,Suburban,2,3,2,4,5,4,4,3,4,4,$500-$1000,Rarely,4,11,2026-01-22,Mobile App,0.74
R01342,45-54,Gen X,Male,Quebec,$30k-$50k,Urban,5,3,2,4,4,5,3,2,2,4,$500-$1000,Weekly,2,3,2026-01-22,Email,0.71
R01343,35-44,Millennials,Male,Atlantic,$50k-$75k,Urban,4,3,2,4,5,3,4,3,2,4,$1000+,2-3x/month,0,1,2026-01-23,Mobile App,0.73
R01344,55-64,Boomers,Male,Alberta,$75k-$100k,Urban,5,3,5,2,3,3,2,2,4,5,$250-$500,Rarely,6,10,2026-01-24,Online Panel,0.87
R01345,18-24,Gen Z,Female,Territories,<$30k,Urban,4,3,2,2,4,3,4,3,5,4,$1000+,Monthly,0,11,2026-01-11,Email,0.93
R01346,35-44,Millennials,Prefer not to say,Atlantic,<$30k,Rural,4,3,3,4,4,2,4,3,3,2,<$100,Monthly,2,19,2026-01-24,Online Panel,0.93
R01347,18-24,Gen Z,Female,Ontario,$30k-$50k,Urban,2,3,3,3,3,4,4,3,4,2,$100-$250,Weekly,3,12,2026-02-09,Mobile App,0.64
R01348,45-54,Gen X,Female,British Columbia,$100k-$150k,Urban,2,4,3,3,4,5,3,2,3,3,$250-$500,Monthly,6,5,2026-01-30,Phone,0.73
R01349,25-34,Millennials,Female,Manitoba,$50k-$75k,Urban,5,3,3,3,2,4,4,4,2,5,$500-$1000,Daily,5,5,2026-02-03,Phone,0.9
R01350,55-64,Boomers,Prefer not to say,Alberta,$30k-$50k,Urban,4,5,4,2,3,3,2,1,3,3,$1000+,2-3x/week,5,8,2026-01-23,Email,0.62
R01351,65+,Boomers,Female,Manitoba,$50k-$75k,Suburban,4,5,2,2,3,5,2,1,5,3,<$100,Weekly,0,15,2026-01-24,Mobile App,0.76
R01352,55-64,Boomers,Male,Manitoba,<$30k,Urban,5,4,4,2,5,3,2,1,4,2,$1000+,2-3x/month,5,16,2026-01-27,Email,0.98
R01353,45-54,Gen X,Prefer not to say,British Columbia,$75k-$100k,Suburban,2,4,3,3,5,4,3,2,3,3,<$100,2-3x/week,7,14,2026-01-21,Online Panel,0.95
R01354,55-64,Boomers,Male,Ontario,<$30k,Rural,3,4,2,3,3,4,4,4,4,2,$100-$250,2-3x/month,5,5,2026-01-29,Phone,0.74
R01355,65+,Boomers,Female,Quebec,<$30k,Suburban,3,4,3,3,3,2,2,1,3,2,$100-$250,Daily,3,16,2026-02-08,Email,0.95
R01356,45-54,Gen X,Male,Manitoba,<$30k,Urban,3,4,3,3,4,3,3,2,5,5,<$100,2-3x/week,6,19,2026-01-14,Online Panel,0.91
R01357,65+,Boomers,Male,Territories,$30k-$50k,Urban,2,3,4,2,2,3,2,1,3,3,$500-$1000,Rarely,6,18,2026-02-03,Email,0.91
R01358,35-44,Millennials,Male,Territories,<$30k,Rural,2,3,2,3,3,3,4,1,5,3,$500-$1000,Daily,5,15,2026-01-13,Phone,0.65
R01359,45-54,Gen X,Prefer not to say,Atlantic,$30k-$50k,Urban,4,4,2,3,2,4,4,2,5,4,$250-$500,Weekly,6,2,2026-01-27,Email,0.62
R01360,65+,Boomers,Prefer not to say,Alberta,$50k-$75k,Urban,5,4,3,2,4,5,3,1,2,4,$100-$250,Daily,7,8,2026-01-30,Online Panel,0.96
R01361,55-64,Boomers,Prefer not to say,Territories,$30k-$50k,Rural,4,4,5,3,2,2,2,1,2,5,$500-$1000,2-3x/month,7,4,2026-02-03,Phone,0.82
R01362,55-64,Boomers,Female,Saskatchewan,$150k+,Suburban,3,4,2,2,5,5,2,1,5,3,$100-$250,2-3x/month,2,8,2026-01-16,Mobile App,0.86
R01363,55-64,Boomers,Prefer not to say,Saskatchewan,$75k-$100k,Suburban,5,4,5,2,3,5,2,1,2,5,$250-$500,Rarely,2,16,2026-02-08,Phone,0.76
R01364,35-44,Millennials,Prefer not to say,Quebec,$100k-$150k,Suburban,3,3,4,3,4,3,4,3,5,4,<$100,Monthly,6,6,2026-01-21,Mobile App,0.98
R01365,18-24,Gen Z,Non-binary,British Columbia,$100k-$150k,Suburban,2,3,5,4,5,5,2,3,3,5,$100-$250,2-3x/week,6,14,2026-02-06,Mobile App,0.82
R01366,65+,Boomers,Prefer not to say,Quebec,$75k-$100k,Urban,4,4,4,2,3,4,2,1,5,3,$1000+,Weekly,0,5,2026-01-12,Mobile App,0.73
R01367,65+,Boomers,Female,Saskatchewan,$75k-$100k,Urban,4,4,4,2,3,5,2,1,2,5,$500-$1000,Monthly,2,12,2026-01-25,Phone,0.86
R01368,25-34,Millennials,Non-binary,Atlantic,$150k+,Urban,4,3,3,4,3,3,4,3,4,3,$250-$500,2-3x/week,3,6,2026-01-12,Online Panel,0.88
R01369,55-64,Boomers,Male,Territories,$30k-$50k,Urban,3,4,4,3,3,5,2,4,3,4,$250-$500,2-3x/week,0,13,2026-02-01,Online Panel,0.62
R01370,25-34,Millennials,Male,Ontario,<$30k,Suburban,3,4,5,4,4,2,4,3,2,3,$100-$250,Weekly,1,13,2026-01-28,Phone,0.66
R01371,18-24,Gen Z,Prefer not to say,Saskatchewan,$150k+,Suburban,3,3,2,4,2,4,4,1,2,3,$1000+,Weekly,0,7,2026-02-03,Phone,0.81
R01372,55-64,Boomers,Prefer not to say,Ontario,$150k+,Suburban,4,4,4,2,5,4,2,4,2,5,$250-$500,2-3x/month,1,13,2026-01-23,Phone,0.85
R01373,55-64,Boomers,Male,Atlantic,$150k+,Rural,3,4,5,2,4,3,2,1,4,3,$250-$500,Daily,1,16,2026-01-19,Phone,0.62
R01374,18-24,Gen Z,Prefer not to say,Quebec,$75k-$100k,Suburban,4,3,5,2,4,2,4,3,4,4,$1000+,Daily,6,10,2026-02-05,Phone,0.62
R01375,45-54,Gen X,Non-binary,Alberta,$100k-$150k,Suburban,4,4,5,3,5,3,3,2,2,3,$100-$250,2-3x/week,1,18,2026-01-21,Phone,0.92
R01376,18-24,Gen Z,Male,British Columbia,$100k-$150k,Rural,5,3,2,4,4,3,4,3,4,4,$100-$250,2-3x/month,7,1,2026-01-28,Email,0.79
R01377,65+,Boomers,Prefer not to say,Ontario,$50k-$75k,Rural,4,5,3,2,2,5,4,1,3,2,<$100,2-3x/week,6,14,2026-01-13,Online Panel,0.91
R01378,35-44,Millennials,Non-binary,Atlantic,<$30k,Rural,2,3,3,4,4,2,4,3,5,4,<$100,Daily,1,16,2026-01-28,Phone,0.78
R01379,65+,Boomers,Female,Atlantic,<$30k,Suburban,4,3,2,2,5,2,2,1,5,3,$500-$1000,2-3x/week,4,7,2026-01-26,Phone,0.87
R01380,65+,Boomers,Male,Quebec,$30k-$50k,Urban,3,5,2,2,5,3,2,2,4,4,$500-$1000,2-3x/month,2,5,2026-01-20,Email,0.83
R01381,65+,Boomers,Prefer not to say,Ontario,$150k+,Rural,5,4,4,3,5,2,2,1,5,3,$500-$1000,Daily,4,16,2026-02-01,Email,0.64
R01382,45-54,Gen X,Prefer not to say,Quebec,<$30k,Urban,2,5,2,3,5,3,3,2,5,4,$500-$1000,2-3x/week,0,19,2026-02-01,Mobile App,0.96
R01383,18-24,Gen Z,Male,British Columbia,<$30k,Rural,4,5,4,2,4,2,4,3,3,4,$1000+,Monthly,6,13,2026-01-21,Email,0.79
R01384,45-54,Gen X,Male,British Columbia,$100k-$150k,Suburban,4,5,4,4,5,5,4,3,3,3,<$100,Rarely,3,17,2026-01-21,Phone,0.6
R01385,18-24,Gen Z,Non-binary,Ontario,$100k-$150k,Urban,4,4,4,4,3,3,4,1,2,2,$500-$1000,2-3x/week,0,14,2026-01-28,Email,0.97
R01386,25-34,Millennials,Prefer not to say,Alberta,$30k-$50k,Rural,5,3,5,4,3,3,3,3,3,3,$500-$1000,Rarely,4,13,2026-01-30,Online Panel,0.99
R01387,25-34,Millennials,Female,British Columbia,<$30k,Suburban,3,3,5,4,5,3,4,4,4,2,$500-$1000,2-3x/month,6,7,2026-02-01,Email,0.6
R01388,25-34,Millennials,Non-binary,Atlantic,<$30k,Suburban,5,3,2,3,5,2,4,1,3,4,$500-$1000,Rarely,6,6,2026-01-11,Email,0.91
R01389,45-54,Gen X,Prefer not to say,Alberta,$150k+,Urban,4,4,2,3,4,3,3,2,2,2,$1000+,Rarely,2,19,2026-02-06,Mobile App,0.64
R01390,25-34,Millennials,Non-binary,Territories,<$30k,Suburban,5,3,5,4,2,3,4,3,3,2,<$100,2-3x/week,4,17,2026-01-26,Online Panel,0.97
R01391,35-44,Millennials,Non-binary,Atlantic,$50k-$75k,Suburban,4,3,2,4,4,3,4,3,3,4,$1000+,Monthly,6,18,2026-01-14,Email,0.97
R01392,35-44,Millennials,Prefer not to say,Territories,$75k-$100k,Rural,2,3,4,4,5,5,4,3,2,5,$500-$1000,Monthly,3,19,2026-01-23,Mobile App,0.67
R01393,45-54,Gen X,Non-binary,Quebec,$150k+,Suburban,5,4,3,3,4,3,3,4,5,5,$500-$1000,Rarely,6,6,2026-01-15,Email,0.72
R01394,35-44,Millennials,Non-binary,Alberta,$50k-$75k,Suburban,3,3,3,4,3,5,4,4,3,5,$1000+,Weekly,7,4,2026-02-08,Phone,0.75
R01395,35-44,Millennials,Non-binary,Atlantic,$150k+,Rural,5,3,2,4,3,4,4,3,4,2,$500-$1000,Rarely,6,10,2026-02-09,Email,0.77
R01396,25-34,Millennials,Non-binary,Saskatchewan,$30k-$50k,Suburban,2,3,5,2,5,3,4,3,5,3,$100-$250,Rarely,5,8,2026-01-29,Mobile App,0.94
R01397,25-34,Millennials,Non-binary,British Columbia,$150k+,Suburban,3,3,4,2,4,3,4,3,4,4,$100-$250,2-3x/month,6,6,2026-01-13,Email,0.75
R01398,25-34,Millennials,Non-binary,Quebec,$50k-$75k,Urban,5,3,5,4,5,4,4,2,5,3,$1000+,2-3x/week,1,13,2026-01-15,Email,0.89
R01399,45-54,Gen X,Prefer not to say,Manitoba,$100k-$150k,Rural,2,4,2,3,3,5,3,2,2,4,<$100,2-3x/month,6,15,2026-01-31,Online Panel,0.7
R01400,45-54,Gen X,Prefer not to say,Atlantic,$50k-$75k,Urban,2,4,4,4,5,2,3,2,4,5,$1000+,Daily,0,19,2026-02-03,Online Panel,0.61
R01401,35-44,Millennials,Male,Manitoba,$30k-$50k,Urban,4,3,5,4,4,4,4,3,5,4,<$100,Monthly,0,12,2026-02-03,Online Panel,0.66
R01402,18-24,Gen Z,Male,Saskatchewan,$100k-$150k,Rural,2,3,5,4,3,3,3,3,5,2,$1000+,Monthly,1,9,2026-02-08,Email,0.98
R01403,55-64,Boomers,Non-binary,Alberta,$30k-$50k,Urban,3,4,5,4,2,2,4,1,5,3,<$100,2-3x/month,3,3,2026-01-23,Mobile App,0.62
R01404,55-64,Boomers,Male,British Columbia,<$30k,Rural,2,4,4,2,3,5,3,1,2,4,$100-$250,Daily,2,16,2026-01-25,Mobile App,0.65
R01405,45-54,Gen X,Female,Alberta,$75k-$100k,Rural,4,5,4,2,3,3,3,1,3,5,<$100,2-3x/week,3,3,2026-01-26,Email,0.75
R01406,45-54,Gen X,Prefer not to say,Territories,$30k-$50k,Urban,3,4,3,2,3,2,3,2,5,3,$100-$250,Rarely,2,1,2026-01-12,Phone,0.75
R01407,55-64,Boomers,Prefer not to say,Ontario,$100k-$150k,Suburban,5,3,4,2,2,5,2,1,4,2,$1000+,Weekly,1,10,2026-01-23,Email,0.75
R01408,18-24,Gen Z,Prefer not to say,Atlantic,$75k-$100k,Rural,4,3,5,4,5,4,2,3,2,2,$250-$500,Rarely,3,0,2026-01-31,Phone,0.9
R01409,25-34,Millennials,Prefer not to say,Alberta,$30k-$50k,Suburban,5,3,2,4,3,5,4,3,5,4,<$100,2-3x/month,4,9,2026-01-31,Phone,0.82
R01410,18-24,Gen Z,Female,Quebec,$75k-$100k,Rural,2,3,5,2,2,3,4,2,2,2,$250-$500,2-3x/month,4,16,2026-01-27,Phone,0.62
R01411,65+,Boomers,Prefer not to say,Atlantic,<$30k,Suburban,2,3,5,2,2,4,2,1,5,4,<$100,2-3x/month,0,4,2026-01-16,Mobile App,0.98
R01412,25-34,Millennials,Female,Alberta,<$30k,Suburban,3,3,4,4,5,2,3,3,2,2,$500-$1000,Daily,2,15,2026-02-04,Online Panel,0.87
R01413,35-44,Millennials,Male,Manitoba,$75k-$100k,Urban,2,3,5,4,3,3,4,3,3,5,$1000+,2-3x/week,2,8,2026-01-30,Phone,0.74
R01414,35-44,Millennials,Female,Quebec,$30k-$50k,Urban,3,3,3,4,3,3,4,3,2,5,$250-$500,Rarely,4,9,2026-01-19,Mobile App,0.8
R01415,35-44,Millennials,Prefer not to say,Atlantic,$30k-$50k,Urban,2,3,5,4,2,5,4,3,2,2,$100-$250,Daily,0,6,2026-01-13,Email,0.91
R01416,25-34,Millennials,Male,Territories,$100k-$150k,Suburban,2,3,3,3,2,3,4,4,5,4,$100-$250,Daily,6,6,2026-01-18,Email,0.64
R01417,25-34,Millennials,Non-binary,Ontario,$100k-$150k,Rural,5,3,4,3,4,3,2,3,4,3,<$100,2-3x/week,2,2,2026-01-19,Mobile App,0.7
R01418,55-64,Boomers,Non-binary,Manitoba,$75k-$100k,Urban,4,4,4,2,5,4,2,3,2,2,$500-$1000,Monthly,1,1,2026-02-06,Online Panel,0.62
R01419,18-24,Gen Z,Prefer not to say,British Columbia,<$30k,Suburban,5,3,5,4,3,2,4,4,3,3,<$100,Monthly,3,8,2026-01-14,Phone,0.67
R01420,55-64,Boomers,Prefer not to say,Saskatchewan,$100k-$150k,Rural,3,4,2,2,4,3,2,1,4,2,$250-$500,2-3x/month,4,17,2026-01-27,Mobile App,0.92
R01421,55-64,Boomers,Prefer not to say,British Columbia,<$30k,Urban,2,5,4,2,3,3,2,1,4,5,$100-$250,2-3x/month,7,0,2026-01-15,Phone,0.81
R01422,45-54,Gen X,Non-binary,Saskatchewan,<$30k,Suburban,2,4,3,3,3,5,4,2,4,3,$100-$250,2-3x/week,1,14,2026-01-27,Phone,0.88
R01423,55-64,Boomers,Female,Manitoba,$75k-$100k,Urban,2,3,3,2,2,4,2,4,2,5,$1000+,2-3x/month,2,4,2026-01-24,Phone,0.91
R01424,65+,Boomers,Prefer not to say,Saskatchewan,$30k-$50k,Suburban,5,5,4,2,5,3,3,4,2,5,<$100,Rarely,7,16,2026-01-31,Online Panel,0.63
R01425,35-44,Millennials,Non-binary,Ontario,$50k-$75k,Suburban,2,3,3,4,4,3,4,1,5,3,$100-$250,Weekly,1,17,2026-01-25,Email,1.0
